time;section_name;reef_section;transect_id;point_id
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Tricase;back reef;TL6;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL1;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
Miocene;Ciolo;reef front;CGL2;Sediment
